process_nm,tmus,texture_rate,rops,pixel_rate,direct_x,shader,open_gl,memory_mb,memory_speed_mhz,memory_type,memory_bandwidth_gbs,boost_clock_mhz,psu_w,min_ram_mb,recom_ram_mb,min_vram_mb,recom_vram_mb,min_os,recom_os,min_direct_x,recom_direct_x,min_hdd_mb,recom_hdd_mb,release_date,name
28.0,140.0,154.0,60.0,66.5,12.0,5.0,4.4,6144.0,1626.5,5.0,304.2,589.0,550.0,4096.0,8192.0,,,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,13312.0,13312.0,2020-01-09,AO Tennis 2
72.5,20.0,6.0,18.0,5.0,10.05,4.05,2.6500000000000004,416.0,396.0,3.0,31.7,,200.0,2048.0,4096.0,,,Windows XP 32-bit,Windows XP 64-bit,9.0,9.0,15360.0,15360.0,2010-07-02,APB
72.5,20.0,6.0,18.0,5.0,10.05,4.05,2.6500000000000004,416.0,396.0,3.0,31.7,,200.0,2048.0,4096.0,,,Windows XP 32-bit,Windows XP 64-bit,9.0,9.0,15360.0,15360.0,2011-09-30,APB: Reloaded
34.0,36.0,34.0,16.0,15.5,11.05,5.0,4.199999999999999,1536.0,1225.0,5.0,78.4,,425.0,2048.0,4096.0,,,Windows 7 32-bit,Windows 7 64-bit,11.0,11.0,10240.0,10240.0,2019-02-07,APE OUT
45.0,12.0,5.5,8.0,3.5,9.0,2.5,2.0,256.0,870.0,3.0,55.65,,200.0,1024.0,2048.0,,,Windows XP 32-bit,,9.0,9.0,,,2011-01-19,ARES: Extinction Agenda
22.0,208.0,394.5,64.0,119.5,12.05,5.0,4.5,8192.0,875.5,2.0,672.15,866.5,625.0,16384.0,16384.0,8000.0,8000.0,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,25600.0,30720.0,2018-03-22,ARK Park
28.0,80.0,81.5,28.0,28.5,11.1,5.0,4.25,2048.0,1351.0,5.0,148.89999999999998,516.5,475.0,4096.0,8192.0,1024.0,,Windows 7 32-bit,Windows 8 64-bit,11.0,11.0,20480.0,20480.0,2017-12-02,ARK: Aberration
28.0,80.0,81.5,28.0,28.5,11.1,5.0,4.25,2048.0,1351.0,5.0,148.89999999999998,516.5,475.0,4096.0,8192.0,1024.0,,Windows 7 32-bit,Windows 8 64-bit,11.0,11.0,20480.0,20480.0,2016-09-01,ARK: Scorched Earth
15.0,88.0,110.5,32.0,42.0,12.05,2.5,4.5,4096.0,1701.0,5.0,161.64999999999998,1299.0,375.0,8192.0,8192.0,2048.0,,Windows 7 64-bit,Windows 10 64-bit,10.0,11.0,61440.0,61440.0,2017-08-31,ARK: Survival Evolved
28.0,132.0,141.5,60.0,65.0,12.0,5.0,4.4,6144.0,1626.5,5.0,304.2,589.0,550.0,4096.0,8192.0,2048.0,,Windows 7 64-bit,Windows 8 64-bit,10.0,11.0,37888.0,37888.0,2016-03-17,ARK: Survival Of The Fittest
28.0,80.0,81.5,28.0,28.5,11.1,5.0,4.25,2048.0,1351.0,5.0,148.89999999999998,516.5,475.0,3072.0,4096.0,1024.0,2048.0,Windows Vista 64-bit,Windows 7 64-bit,11.0,11.0,11264.0,11264.0,2016-02-09,ARSLAN: THE WARRIORS OF LEGEND
