split,game_name,label_0,label_1,label_2,label_3
train,BioShock™ Remastered,127,26,129,6
train,Bionic Dues,345,54,296,27
train,Bionicle: Okoto Online,345,54,296,27
train,Bioshock,355,58,305,23
train,Bioshock 2,279,45,244,12
train,Bioshock Infinite,199,35,164,14
train,Bioshock Infinite: Burial At Sea - Episode One,199,35,164,14
train,Bioshock Infinite: Burial At Sea - Episode Two,199,35,164,14
train,Bioshock Infinite: Clash In The Clouds,199,35,164,14
train,Bird Simulator,143,27,137,9
train,Bit Blaster XL,383,63,356,14
train,Bitardia,257,46,225,12
train,Bite the Bullet,268,44,237,11
train,Bitmaster,127,26,129,6
train,Black & White Bushido,345,54,296,27
train,Black Annex,345,54,296,27
train,Black Desert Online,126,23,102,6
train,Black Future '88,414,63,376,27
train,Black Galaxy,345,54,296,27
train,Black Geyser: Couriers of Darkness,148,28,119,11
train,Black Island,319,55,270,23
train,Black Legend,135,25,106,9
train,Black Mesa,116,23,99,10
train,Black Mirror,123,24,106,9
train,Black Skylands,232,40,202,10
train,BlackSquad,219,38,190,6
train,Blackbay Asylum,345,54,296,27
train,Blackguards,233,38,202,13
train,Blackguards: Untold Legends,233,38,202,13
train,Blackout Rugby,312,52,264,24
train,Blacksad: Under the Skin,69,14,60,2
train,Blades of Time,293,49,249,21
train,Blair Witch,112,21,93,3
train,Blaster Shooter Gunguy!,319,55,270,23
train,BlazBlue: Cross Tag Battle,188,33,155,13
train,Bleeding Edge,124,23,102,4
train,Bless,124,23,102,4
train,Blind Spot VR,124,23,102,4
train,Blinding Dark,345,54,296,27
train,Bliss Maze,269,45,239,10
train,Blitz,345,54,296,27
train,Block N Load Beta,268,44,237,11
train,Block Story,345,54,296,27
train,Blockchain Tycoon,334,54,289,22
train,Blockland,345,54,296,27
train,Blockstorm,263,43,233,12
train,Blood Bowl,311,49,269,21
train,Blood Bowl 2,245,42,210,13
train,Blood Bowl 2: Lizardmen,245,42,210,13
train,Blood Bowl 2: Necromantic,245,42,210,13
train,Blood Bowl 2: Norse,245,42,210,13
train,Blood Bowl 2: Undead,245,42,210,13
train,Blood Bowl 2: Wood Elves,245,42,210,13
train,Blood Bowl 3,124,23,102,4
train,Blood Bowl: Chaos Edition,311,49,269,21
train,Blood Bowl: Death Zone,247,42,210,13
train,Blood Knights,299,51,256,18
train,Blood Of The Werewolf,243,43,211,14
train,Blood Rage: Digital Edition,186,33,155,13
train,Blood Spear,123,22,102,4
train,Blood of Steel,211,36,178,11
train,BloodRayne,531,41,628,23
train,BloodRayne 2: Terminal Cut,414,63,376,27
train,BloodRayne Betrayal: Fresh Bites,88,16,69,7
train,Bloodborne Remastered,117,22,99,10
train,Bloodline,555,0,839,24
train,Bloodroots,154,28,135,9
train,Bloodstained: Curse of the Moon,269,45,239,10
train,Bloodstained: Curse of the Moon 2,309,51,257,27
train,Bloodstained: Ritual of the Night,129,23,110,9
train,Bloody Boobs,99,19,85,5
train,Bloom,125,22,105,4
train,Blue Sheep,180,33,152,8
train,Blur,374,58,332,27
train,Bocce Revolution,345,54,296,27
train,Boet Fighter,303,50,253,25
train,Boiling Point: Road To Hell,488,52,527,23
train,BoneCraft - Somewhere In Some Galaxy,325,56,268,29
train,Boneworks,68,12,62,2
train,Book of Yog Idle RPG,414,63,376,27
train,Boomerang Fu,188,33,155,13
train,Boomerang X,189,32,165,6
train,Borderlands,354,61,293,29
train,Borderlands 2,209,35,178,10
train,Borderlands 2 VR,125,22,105,4
train,Borderlands 2: Captain Scarlett and Her Pirates Booty,209,35,178,10
train,Borderlands 2: Mechromancer,209,35,178,10
train,Borderlands 2: Mr Torgues Campaign of Carnage,209,35,178,10
train,Borderlands 2: Sir Hammerlocks Big Game Hunt,209,35,178,10
train,Borderlands 2: Tiny Tinas Assault On Dragon Keep,209,35,178,10
train,Borderlands 3,123,23,100,6
train,Borderlands 3 - Moxxi's Heist of the Handsome Jackpot,123,23,100,6
train,Borderlands 3 - Psycho Krieg and the Fantastic Fustercluck,123,23,100,6
train,Borderlands 4,123,23,100,6
train,Borderlands Game of the Year Enhanced,183,33,153,13
train,Borderlands: The Pre-sequel,209,35,178,10
train,Boris The Rocket,188,33,155,13
train,Borts Bender,345,54,296,27
